cross_street_name,crimename1,crime_count
OLD COLUMBIA PIKE,Crime Against Property,7
OLD COLUMBIA PIKE,Crime Against Society,2
OLD GEORGETOWN RD,Crime Against Person,1
OLD GEORGETOWN RD,Crime Against Property,14
OLDE TOWNE AVE,Crime Against Property,1
OMEGA DR,Crime Against Property,1
OREBAUGH AVE,Crime Against Property,7
OREBAUGH AVE,Crime Against Society,2
OVERLOOK DR,Crime Against Property,2
OXBRIDGE DR,Crime Against Property,2
PALMIRA LA,Crime Against Property,1
PALMIRA LA,Crime Against Society,2
PARAMOUNT DR,Crime Against Person,2
PARAMOUNT DR,Crime Against Property,7
PARAMOUNT DR,Crime Against Society,2
PARK RD,Crime Against Property,3
PARKER FARM WAY,Crime Against Property,1
PARKLAND DR,Crime Against Person,2
PARKLAND DR,Crime Against Property,6
PARKLAND DR,Crime Against Society,3
PARKLAWN DR,Crime Against Person,1
PARKLAWN DR,Crime Against Property,21
PARKLAWN DR,Crime Against Society,2
PARKVALE RD,Crime Against Property,5
PARTRIDGE WOOD DR,Crime Against Person,1
PARTRIDGE WOOD DR,Crime Against Property,3
PARTRIDGE WOOD DR,Crime Against Society,3
PENDLETON DR,Crime Against Property,2
PENDLETON DR,Crime Against Society,1
PERRY PKWY,Crime Against Person,10
PERRY PKWY,Crime Against Property,81
PERRY PKWY,Crime Against Society,31
PHILADELPHIA AVE,Crime Against Property,20
PHILADELPHIA AVE,Crime Against Society,2
PICKERING PL,Crime Against Property,2
PINEY BRANCH RD,Crime Against Person,23
PINEY BRANCH RD,Crime Against Property,91
PINEY BRANCH RD,Crime Against Society,9
PLEASANT DR,Crime Against Property,1
PLEASANT DR,Crime Against Society,2
PLUM ORCHARD DR,Crime Against Person,7
PLUM ORCHARD DR,Crime Against Property,113
PLUM ORCHARD DR,Crime Against Society,2
PLUMMER DR,Crime Against Property,1
PLUMMER DR,Crime Against Society,3
PORTER RD,Crime Against Property,1
POWDER MILL RD,Crime Against Person,1
POWDER MILL RD,Crime Against Property,5
PREAKNESS DR,Crime Against Person,2
PRELUDE DR,Crime Against Property,3
PRELUDE DR,Crime Against Society,1
PRICE AVE,Crime Against Person,2
PRICE AVE,Crime Against Property,9
